material_id,formula,volume,structure,G_Voigt,G_Reuss,G_VRH,K_Voigt,K_Reuss,K_VRH,poisson_ratio,elastic_tensor
mp-10003,Nb4CoSi,194.419802449,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[6.22178, 0.0, 0.0], [0.0, 6.22178, 0.0], [0.0, 0.0, 5.0224]], 'a': 6.22178, 'b': 6.22178, 'c': 5.0224, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 194.41984808065214}, 'sites': [{'species': [{'element': 'Nb', 'occu': 1}], 'abc': [0.152391, 0.333153, 0.5], 'xyz': [0.9481432759799999, 2.0728046723399998, 2.5112], 'label': 'Nb', 'properties': {}}, {'species': [{'element': 'Nb', 'occu': 1}], 'abc': [0.847609, 0.666847, 0.5], 'xyz': [5.273636724019999, 4.14897532766, 2.5112], 'label': 'Nb', 'properties': {}}, {'species': [{'element': 'Nb', 'occu': 1}], 'abc': [0.666847, 0.152391, 0.5], 'xyz': [4.14897532766, 0.9481432759799999, 2.5112], 'label': 'Nb', 'properties': {}}, {'species': [{'element': 'Nb', 'occu': 1}], 'abc': [0.333153, 0.847609, 0.5], 'xyz': [2.0728046723399998, 5.273636724019999, 2.5112], 'label': 'Nb', 'properties': {}}, {'species': [{'element': 'Nb', 'occu': 1}], 'abc': [0.847609, 0.333153, 0.0], 'xyz': [5.273636724019999, 2.0728046723399998, 0.0], 'label': 'Nb', 'properties': {}}, {'species': [{'element': 'Nb', 'occu': 1}], 'abc': [0.666847, 0.847609, 0.0], 'xyz': [4.14897532766, 5.273636724019999, 0.0], 'label': 'Nb', 'properties': {}}, {'species': [{'element': 'Nb', 'occu': 1}], 'abc': [0.333153, 0.152391, 0.0], 'xyz': [2.0728046723399998, 0.9481432759799999, 0.0], 'label': 'Nb', 'properties': {}}, {'species': [{'element': 'Nb', 'occu': 1}], 'abc': [0.152391, 0.666847, 0.0], 'xyz': [0.9481432759799999, 4.14897532766, 0.0], 'label': 'Nb', 'properties': {}}, {'species': [{'element': 'Co', 'occu': 1}], 'abc': [0.0, 0.0, 0.75], 'xyz': [0.0, 0.0, 3.7668], 'label': 'Co', 'properties': {}}, {'species': [{'element': 'Co', 'occu': 1}], 'abc': [0.0, 0.0, 0.25], 'xyz': [0.0, 0.0, 1.2556], 'label': 'Co', 'properties': {}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.5, 0.5, 0.75], 'xyz': [3.11089, 3.11089, 3.7668], 'label': 'Si', 'properties': {}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.5, 0.5, 0.25], 'xyz': [3.11089, 3.11089, 1.2556], 'label': 'Si', 'properties': {}}]}",97.43867440129999,96.8445345574,97.1416044794,194.27014594099998,194.267622778,194.26888435900003,0.28570074251999994,"[[ 3.11335146e+02  1.44450926e+02  1.26175581e+02  0.00000000e+00
  -1.10347467e-01  0.00000000e+00]
 [ 1.44450926e+02  3.11320432e+02  1.26168858e+02  0.00000000e+00
  -1.12160678e-01  0.00000000e+00]
 [ 1.26175581e+02  1.26168858e+02  3.32185004e+02  0.00000000e+00
  -1.07540953e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.89181876e+01
   0.00000000e+00  0.00000000e+00]
 [-1.10347467e-01 -1.12160678e-01 -1.07540953e-01  0.00000000e+00
   9.89209795e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.03339132e+02]]"
mp-10010,Al(CoSi)2,61.9873198912,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[3.932782, 0.0, 0.0], [-1.966392, 3.40589, 0.0], [0.0, 0.0, 4.627777]], 'a': 3.932782, 'b': 3.9327832624954047, 'c': 4.627777, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.00000620335643, 'volume': 61.98732771541186}, 'sites': [{'species': [{'element': 'Al', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Al', 'properties': {}}, {'species': [{'element': 'Co', 'occu': 1}], 'abc': [0.666667, 0.333333, 0.162667], 'xyz': [1.9663926330580002, 1.13529553137, 0.752786601259], 'label': 'Co', 'properties': {}}, {'species': [{'element': 'Co', 'occu': 1}], 'abc': [0.333333, 0.666667, 0.837333], 'xyz': [-2.6330579999840325e-06, 2.27059446863, 3.874990398741], 'label': 'Co', 'properties': {}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.333333, 0.666667, 0.34766], 'xyz': [-2.6330579999840325e-06, 2.27059446863, 1.6088929518200001], 'label': 'Si', 'properties': {}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.666667, 0.333333, 0.65234], 'xyz': [1.9663926330580002, 1.13529553137, 3.0188840481800003], 'label': 'Si', 'properties': {}}]}",98.5643616992,93.9396497627,96.252005731,177.252050225,173.647763284,175.449906754,0.26810535119199996,"[[ 3.06933574e+02  8.80263496e+01  1.05695672e+02  2.53622023e+00
  -5.68262063e-01 -1.88934450e-01]
 [ 8.80263496e+01  2.98868704e+02  1.01790343e+02 -1.43474154e+00
  -6.08260788e-01 -2.26252935e-01]
 [ 1.05695672e+02  1.01790343e+02  3.98441446e+02  3.50165867e-01
  -5.77829367e-01 -2.32358330e-01]
 [ 2.53622023e+00 -1.43474154e+00  3.50165867e-01  7.53104358e+01
   0.00000000e+00  0.00000000e+00]
 [-5.68262063e-01 -6.08260788e-01 -5.77829367e-01  0.00000000e+00
   7.55826087e+01  1.92805683e+00]
 [-1.88934450e-01 -2.26252935e-01 -2.32358330e-01  0.00000000e+00
   1.92805683e+00  1.05684978e+02]]"
mp-10015,SiOs,25.952538538200002,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[2.960692, 0.0, 0.0], [0.0, 2.960692, 0.0], [0.0, 0.0, 2.960692]], 'a': 2.960692, 'b': 2.960692, 'c': 2.960692, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 25.95252933424369}, 'sites': [{'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [1.480346, 1.480346, 1.480346], 'label': 'Si', 'properties': {}}, {'species': [{'element': 'Os', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Os', 'properties': {}}]}",139.263621136,120.96228873,130.112954933,295.077544987,295.077544987,295.077544987,0.307780292402,"[[569.52912769 157.85174897 157.85140728   0.           0.
    0.        ]
 [157.85174897 569.52962952 157.85159594   0.           0.
    0.        ]
 [157.85140728 157.85159594 569.5296433    0.           0.
    0.        ]
 [  0.           0.           0.          94.88014743   0.
    0.        ]
 [  0.           0.           0.           0.          94.87999745
    0.        ]
 [  0.           0.           0.           0.           0.
   94.88007803]]"
mp-10021,Ga,76.7214332896,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[2.803229, 0.0, 0.0], [0.0, 8.137928, 0.0], [0.0, 0.0, 3.363135]], 'a': 2.803229, 'b': 8.137928, 'c': 3.363135, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 76.72143569709775}, 'sites': [{'species': [{'element': 'Ga', 'occu': 1}], 'abc': [0.0, 0.133997, 0.25], 'xyz': [0.0, 1.090457938216, 0.84078375], 'label': 'Ga', 'properties': {}}, {'species': [{'element': 'Ga', 'occu': 1}], 'abc': [0.0, 0.866003, 0.75], 'xyz': [0.0, 7.047470061784, 2.5223512500000003], 'label': 'Ga', 'properties': {}}, {'species': [{'element': 'Ga', 'occu': 1}], 'abc': [0.5, 0.633997, 0.25], 'xyz': [1.4016145, 5.159421938216001, 0.84078375], 'label': 'Ga', 'properties': {}}, {'species': [{'element': 'Ga', 'occu': 1}], 'abc': [0.5, 0.366003, 0.75], 'xyz': [1.4016145, 2.9785060617840005, 2.5223512500000003], 'label': 'Ga', 'properties': {}}]}",17.9978123924,12.205988838900002,15.1019006156,49.23537742520001,49.0259626531,49.1306700392,0.36059261653999997,"[[69.28798775 34.78750152 37.38770853  0.          0.          0.        ]
 [34.78750152 78.13789941 40.60474945  0.          0.          0.        ]
 [37.38770853 40.60474945 70.13259067  0.          0.          0.        ]
 [ 0.          0.          0.         19.89538424  0.          0.        ]
 [ 0.          0.          0.          0.          4.75802777  0.        ]
 [ 0.          0.          0.          0.          0.         30.40947718]]"
mp-10025,SiRu2,160.300999362,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[4.037706, 0.0, 0.0], [0.0, 5.32136, 0.0], [0.0, 0.0, 7.460689]], 'a': 4.037706, 'b': 5.32136, 'c': 7.460689, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 160.3010144272745}, 'sites': [{'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.25, 0.798239, 0.401511], 'xyz': [1.0094265, 4.247717085040001, 2.995548701079], 'label': 'Si', 'properties': {}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.75, 0.201761, 0.598489], 'xyz': [3.0282795, 1.07364291496, 4.465140298921001], 'label': 'Si', 'properties': {}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.25, 0.298239, 0.098489], 'xyz': [1.0094265, 1.58703708504, 0.734795798921], 'label': 'Si', 'properties': {}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.75, 0.701761, 0.901511], 'xyz': [3.0282795, 3.73432291496, 6.725893201079], 'label': 'Si', 'properties': {}}, {'species': [{'element': 'Ru', 'occu': 1}], 'abc': [0.75, 0.01409, 0.288438], 'xyz': [3.0282795, 0.0749779624, 2.1519462137820002], 'label': 'Ru', 'properties': {}}, {'species': [{'element': 'Ru', 'occu': 1}], 'abc': [0.25, 0.98591, 0.711562], 'xyz': [1.0094265, 5.2463820376, 5.3087427862180006], 'label': 'Ru', 'properties': {}}, {'species': [{'element': 'Ru', 'occu': 1}], 'abc': [0.75, 0.51409, 0.211562], 'xyz': [3.0282795, 2.7356579624000004, 1.5783982862180002], 'label': 'Ru', 'properties': {}}, {'species': [{'element': 'Ru', 'occu': 1}], 'abc': [0.25, 0.48591, 0.788438], 'xyz': [1.0094265, 2.5857020376000004, 5.882290713782], 'label': 'Ru', 'properties': {}}, {'species': [{'element': 'Ru', 'occu': 1}], 'abc': [0.25, 0.333422, 0.434959], 'xyz': [1.0094265, 1.7742584939200001, 3.245093826751], 'label': 'Ru', 'properties': {}}, {'species': [{'element': 'Ru', 'occu': 1}], 'abc': [0.75, 0.666578, 0.565041], 'xyz': [3.0282795, 3.54710150608, 4.2155951732490005], 'label': 'Ru', 'properties': {}}, {'species': [{'element': 'Ru', 'occu': 1}], 'abc': [0.25, 0.833422, 0.065041], 'xyz': [1.0094265, 4.43493849392, 0.485250673249], 'label': 'Ru', 'properties': {}}, {'species': [{'element': 'Ru', 'occu': 1}], 'abc': [0.75, 0.166578, 0.934959], 'xyz': [3.0282795, 0.88642150608, 6.975438326751], 'label': 'Ru', 'properties': {}}]}",103.784823054,100.11077277,101.94779791200001,258.480904105,255.05525740099998,256.768080753,0.32468175501400004,"[[349.37677662 186.67131003 176.47591881   0.           0.
    0.        ]
 [186.67131003 415.509772   213.8340145    0.           0.
    0.        ]
 [176.47591881 213.8340145  407.47910165   0.           0.
    0.        ]
 [  0.           0.           0.         120.11174096   0.
    0.        ]
 [  0.           0.           0.           0.         125.44309735
    0.        ]
 [  0.           0.           0.           0.           0.
   74.90780798]]"
mp-10037,AlCo3C,51.5749593941,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[3.722314, 0.0, 0.0], [0.0, 3.722314, 0.0], [0.0, 0.0, 3.722314]], 'a': 3.722314, 'b': 3.722314, 'c': 3.722314, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 51.57497394248189}, 'sites': [{'species': [{'element': 'Al', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Al', 'properties': {}}, {'species': [{'element': 'Co', 'occu': 1}], 'abc': [0.0, 0.5, 0.5], 'xyz': [0.0, 1.861157, 1.861157], 'label': 'Co', 'properties': {}}, {'species': [{'element': 'Co', 'occu': 1}], 'abc': [0.5, 0.0, 0.5], 'xyz': [1.861157, 0.0, 1.861157], 'label': 'Co', 'properties': {}}, {'species': [{'element': 'Co', 'occu': 1}], 'abc': [0.5, 0.5, 0.0], 'xyz': [1.861157, 1.861157, 0.0], 'label': 'Co', 'properties': {}}, {'species': [{'element': 'C', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [1.861157, 1.861157, 1.861157], 'label': 'C', 'properties': {}}]}",121.207527445,111.795761039,116.50164424200001,234.45450965400002,234.454509641,234.454509647,0.286852189752,"[[454.44599765 124.45737521 124.46029378   0.           0.
    0.        ]
 [124.45737521 454.44309243 124.45872283   0.           0.
    0.        ]
 [124.46029378 124.45872283 454.44871318   0.           0.
    0.        ]
 [  0.           0.           0.          92.01683938   0.
    0.        ]
 [  0.           0.           0.           0.          92.01687859
    0.        ]
 [  0.           0.           0.           0.           0.
   92.01678211]]"
mp-10063,CdSnSb2,580.176940096,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[6.644504, 0.0, 0.0], [0.0, 6.644504, 0.0], [0.0, 0.0, 13.141208]], 'a': 6.644504, 'b': 6.644504, 'c': 13.141208, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 580.1768874706048}, 'sites': [{'species': [{'element': 'Cd', 'occu': 1}], 'abc': [0.0, 0.5, 0.75], 'xyz': [0.0, 3.322252, 9.855906000000001], 'label': 'Cd', 'properties': {}}, {'species': [{'element': 'Cd', 'occu': 1}], 'abc': [0.0, 0.0, 0.5], 'xyz': [0.0, 0.0, 6.570604], 'label': 'Cd', 'properties': {}}, {'species': [{'element': 'Cd', 'occu': 1}], 'abc': [0.5, 0.0, 0.25], 'xyz': [3.322252, 0.0, 3.285302], 'label': 'Cd', 'properties': {}}, {'species': [{'element': 'Cd', 'occu': 1}], 'abc': [0.5, 0.5, 0.0], 'xyz': [3.322252, 3.322252, 0.0], 'label': 'Cd', 'properties': {}}, {'species': [{'element': 'Sn', 'occu': 1}], 'abc': [0.5, 0.0, 0.75], 'xyz': [3.322252, 0.0, 9.855906000000001], 'label': 'Sn', 'properties': {}}, {'species': [{'element': 'Sn', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [3.322252, 3.322252, 6.570604], 'label': 'Sn', 'properties': {}}, {'species': [{'element': 'Sn', 'occu': 1}], 'abc': [0.0, 0.5, 0.25], 'xyz': [0.0, 3.322252, 3.285302], 'label': 'Sn', 'properties': {}}, {'species': [{'element': 'Sn', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Sn', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.75, 0.748133, 0.875], 'xyz': [4.983378, 4.970972711032001, 11.498557], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.248133, 0.75, 0.625], 'xyz': [1.6487207110320001, 4.983378, 8.213255], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.751867, 0.25, 0.625], 'xyz': [4.995783288968, 1.661126, 8.213255], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.25, 0.251867, 0.875], 'xyz': [1.661126, 1.673531288968, 11.498557], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.25, 0.248133, 0.375], 'xyz': [1.661126, 1.6487207110320001, 4.9279530000000005], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.748133, 0.25, 0.125], 'xyz': [4.970972711032001, 1.661126, 1.642651], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.251867, 0.75, 0.125], 'xyz': [1.673531288968, 4.983378, 1.642651], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.75, 0.751867, 0.375], 'xyz': [4.983378, 4.995783288968, 4.9279530000000005], 'label': 'Sb', 'properties': {}}]}",18.7926313419,16.6921879057,17.7424096238,36.2350009171,36.23157009,36.2332855036,0.289519634144,"[[52.00996116 28.58763431 28.4509362   0.          0.          0.        ]
 [28.58763431 52.01065505 28.45137549  0.          0.          0.        ]
 [28.4509362  28.45137549 51.11450006  0.          0.          0.        ]
 [ 0.          0.          0.         23.69145212  0.          0.        ]
 [ 0.          0.          0.          0.         23.69154011  0.        ]
 [ 0.          0.          0.          0.          0.         23.36510772]]"
mp-101,Ir,58.2583860619,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[3.876616, 0.0, 0.0], [0.0, 3.876616, 0.0], [0.0, 0.0, 3.876616]], 'a': 3.876616, 'b': 3.876616, 'c': 3.876616, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 58.2583729873961}, 'sites': [{'species': [{'element': 'Ir', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Ir', 'properties': {}}, {'species': [{'element': 'Ir', 'occu': 1}], 'abc': [0.0, 0.5, 0.5], 'xyz': [0.0, 1.938308, 1.938308], 'label': 'Ir', 'properties': {}}, {'species': [{'element': 'Ir', 'occu': 1}], 'abc': [0.5, 0.0, 0.5], 'xyz': [1.938308, 0.0, 1.938308], 'label': 'Ir', 'properties': {}}, {'species': [{'element': 'Ir', 'occu': 1}], 'abc': [0.5, 0.5, 0.0], 'xyz': [1.938308, 1.938308, 0.0], 'label': 'Ir', 'properties': {}}]}",220.219934658,212.79180346599998,216.50586906200002,346.322761289,346.32276128800004,346.322761289,0.241325774939,"[[576.3314487  231.31771069 231.31818523   0.           0.
    0.        ]
 [231.31771069 576.33202726 231.31840299   0.           0.
    0.        ]
 [231.31818523 231.31840299 576.33277782   0.           0.
    0.        ]
 [  0.           0.           0.         252.02855817   0.
    0.        ]
 [  0.           0.           0.           0.         252.02857686
    0.        ]
 [  0.           0.           0.           0.           0.
  252.0285533 ]]"
mp-10125,SbIr,80.05496712029999,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[4.063084, 0.0, 0.0], [-2.031542, 3.518735, 0.0], [0.0, 0.0, 5.599457]], 'a': 4.063084, 'b': 4.06308489918547, 'c': 5.599457, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99999267925345, 'volume': 80.05496569562185}, 'sites': [{'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.666667, 0.333333, 0.75], 'xyz': [2.031544031542, 1.172910493755, 4.19959275], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.333333, 0.666667, 0.25], 'xyz': [-2.0315419999917154e-06, 2.345824506245, 1.39986425], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Ir', 'occu': 1}], 'abc': [0.0, 0.0, 0.5], 'xyz': [0.0, 0.0, 2.7997285], 'label': 'Ir', 'properties': {}}, {'species': [{'element': 'Ir', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Ir', 'properties': {}}]}",62.5074763291,55.9833429934,59.2454096613,161.00102741799998,159.560744507,160.280885962,0.335456252727,"[[ 2.20061425e+02  1.38701519e+02  1.01964699e+02  0.00000000e+00
   0.00000000e+00 -3.28938450e-02]
 [ 1.38701519e+02  2.23048213e+02  1.02391887e+02  0.00000000e+00
   0.00000000e+00  6.15671217e-02]
 [ 1.01964699e+02  1.02391887e+02  3.19783399e+02  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  6.59554827e+01
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   6.60214742e+01  0.00000000e+00]
 [-3.28938450e-02  6.15671217e-02  0.00000000e+00  0.00000000e+00
   0.00000000e+00  4.06154473e+01]]"
mp-10154,MnSbIr,228.873768531,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[6.116909, 0.0, 0.0], [0.0, 6.116909, 0.0], [0.0, 0.0, 6.116909]], 'a': 6.116909, 'b': 6.116909, 'c': 6.116909, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 228.87378873586684}, 'sites': [{'species': [{'element': 'Mn', 'occu': 1}], 'abc': [0.5, 0.0, 0.0], 'xyz': [3.0584545, 0.0, 0.0], 'label': 'Mn', 'properties': {}}, {'species': [{'element': 'Mn', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [3.0584545, 3.0584545, 3.0584545], 'label': 'Mn', 'properties': {}}, {'species': [{'element': 'Mn', 'occu': 1}], 'abc': [0.0, 0.0, 0.5], 'xyz': [0.0, 0.0, 3.0584545], 'label': 'Mn', 'properties': {}}, {'species': [{'element': 'Mn', 'occu': 1}], 'abc': [0.0, 0.5, 0.0], 'xyz': [0.0, 3.0584545, 0.0], 'label': 'Mn', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.0, 0.5, 0.5], 'xyz': [0.0, 3.0584545, 3.0584545], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.5, 0.0, 0.5], 'xyz': [3.0584545, 0.0, 3.0584545], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Sb', 'occu': 1}], 'abc': [0.5, 0.5, 0.0], 'xyz': [3.0584545, 3.0584545, 0.0], 'label': 'Sb', 'properties': {}}, {'species': [{'element': 'Ir', 'occu': 1}], 'abc': [0.25, 0.75, 0.75], 'xyz': [1.52922725, 4.58768175, 4.58768175], 'label': 'Ir', 'properties': {}}, {'species': [{'element': 'Ir', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'xyz': [1.52922725, 1.52922725, 1.52922725], 'label': 'Ir', 'properties': {}}, {'species': [{'element': 'Ir', 'occu': 1}], 'abc': [0.75, 0.75, 0.25], 'xyz': [4.58768175, 4.58768175, 1.52922725], 'label': 'Ir', 'properties': {}}, {'species': [{'element': 'Ir', 'occu': 1}], 'abc': [0.75, 0.25, 0.75], 'xyz': [4.58768175, 1.52922725, 4.58768175], 'label': 'Ir', 'properties': {}}]}",40.6161447373,39.7471977348,40.1816712361,131.97510612600001,131.974614718,131.974860422,0.361793985965,"[[176.45558762 109.47766518 109.60405906   0.           0.
    0.        ]
 [109.47766518 176.71827437 109.73500345   0.           0.
    0.        ]
 [109.60405906 109.73500345 176.96863776   0.           0.
    0.        ]
 [  0.           0.           0.          45.32392864   0.
    0.        ]
 [  0.           0.           0.           0.          45.3240029
    0.        ]
 [  0.           0.           0.           0.           0.
   45.32420147]]"
