formula,mpid,formation_enthalpy,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
ScAg2,mp-1018128,-0.2809,21.0,47.0,26.0,38.333333333333336,11.555555555555555,47.0,11.0,65.0,54.0,47.0,24.0,65.0,44.955912,107.8682,62.912288000000004,86.89743733333334,27.96101688888889,107.8682,1234.93,1814.0,579.0699999999999,1427.9533333333336,257.3644444444445,1234.93,3.0,11.0,8.0,8.333333333333334,3.5555555555555554,11.0,4.0,5.0,1.0,4.666666666666667,0.44444444444444436,5.0,145.0,170.0,25.0,153.33333333333334,11.111111111111114,145.0,1.36,1.93,0.5699999999999998,1.74,0.25333333333333324,1.93,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,7.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.333333333333334,3.5555555555555554,11.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.6666666666666665,3.555555555555556,1.0,16.33,22.235,5.905000000000001,18.298333333333332,2.624444444444445,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,2.1166666666666666e-06,2.8222222222222227e-06,0.0,194.0,225.0,31.0,214.66666666666666,13.77777777777778,225.0
ScAg,mp-11237,-0.2715,21.0,47.0,26.0,34.0,13.0,21.0,11.0,65.0,54.0,38.0,27.0,11.0,44.955912,107.8682,62.912288000000004,76.412056,31.456144000000002,44.955912,1234.93,1814.0,579.0699999999999,1524.4650000000001,289.53499999999997,1234.93,3.0,11.0,8.0,7.0,4.0,3.0,4.0,5.0,1.0,4.5,0.5,4.0,145.0,170.0,25.0,157.5,12.5,145.0,1.36,1.93,0.5699999999999998,1.645,0.2849999999999999,1.36,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,5.5,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.0,4.0,3.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,5.0,4.0,1.0,16.33,22.235,5.905000000000001,19.2825,2.9525000000000006,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,3.175e-06,3.175e-06,0.0,194.0,225.0,31.0,209.5,15.5,194.0
Ag51Y14,,-0.2301,39.0,47.0,8.0,45.276923076923076,2.7039053254437877,47.0,12.0,65.0,53.0,53.58461538461538,17.91337278106509,65.0,88.90585,107.8682,18.96235,103.78400153846154,6.409049893491126,107.8682,1234.93,1799.0,564.0699999999999,1356.4219999999998,190.64898461538445,1234.93,3.0,11.0,8.0,9.276923076923078,2.7039053254437864,11.0,5.0,5.0,0.0,5.0,0.0,5.0,145.0,190.0,45.0,154.69230769230768,15.209467455621294,145.0,1.22,1.93,0.71,1.777076923076923,0.23997159763313608,1.93,1.0,2.0,1.0,1.2153846153846153,0.3379881656804733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,8.061538461538461,3.0418934911242603,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,9.276923076923078,2.7039053254437864,11.0,0.0,1.0,1.0,0.7846153846153846,0.33798816568047335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.9384615384615385,3.0418934911242603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,2.723076923076923,2.703905325443787,1.0,16.33,32.365,16.035000000000004,19.78369230769231,5.4196402366863925,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,218.3230769230769,10.477633136094681,225.0
YAg,mp-2474,-0.2778,39.0,47.0,8.0,43.0,4.0,39.0,12.0,65.0,53.0,38.5,26.5,12.0,88.90585,107.8682,18.96235,98.387025,9.481175,88.90585,1234.93,1799.0,564.0699999999999,1516.9650000000001,282.03499999999997,1234.93,3.0,11.0,8.0,7.0,4.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,145.0,190.0,45.0,167.5,22.5,145.0,1.22,1.93,0.71,1.575,0.355,1.22,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,5.5,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.0,4.0,3.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,5.0,4.0,1.0,16.33,32.365,16.035000000000004,24.3475,8.017500000000002,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,209.5,15.5,194.0
Ag51La14,,-0.2218,47.0,57.0,10.0,49.15384615384615,3.3798816568047334,47.0,13.0,65.0,52.0,53.8,17.575384615384618,65.0,107.8682,138.90547,31.037270000000007,114.55315046153846,10.490229955029589,107.8682,1193.0,1234.93,41.930000000000064,1225.898923076923,14.171843786982352,1234.93,3.0,11.0,8.0,9.276923076923078,2.7039053254437864,11.0,5.0,6.0,1.0,5.2153846153846155,0.33798816568047346,5.0,145.0,207.0,62.0,158.35384615384615,20.955266272189345,145.0,1.1,1.93,0.8299999999999998,1.7512307692307691,0.28053017751479287,1.93,1.0,2.0,1.0,1.2153846153846153,0.3379881656804733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,8.061538461538461,3.0418934911242603,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,9.276923076923078,2.7039053254437864,11.0,0.0,1.0,1.0,0.7846153846153846,0.33798816568047335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.9384615384615385,3.0418934911242603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,2.723076923076923,2.703905325443787,1.0,16.33,36.8975,20.567500000000003,20.759923076923076,6.951571597633137,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,218.3230769230769,10.477633136094681,225.0
LaAg,mp-1948,-0.1752,47.0,57.0,10.0,52.0,5.0,47.0,13.0,65.0,52.0,39.0,26.0,13.0,107.8682,138.90547,31.037270000000007,123.386835,15.518635000000003,107.8682,1193.0,1234.93,41.930000000000064,1213.9650000000001,20.965000000000032,1193.0,3.0,11.0,8.0,7.0,4.0,3.0,5.0,6.0,1.0,5.5,0.5,5.0,145.0,207.0,62.0,176.0,31.0,145.0,1.1,1.93,0.8299999999999998,1.5150000000000001,0.4149999999999999,1.1,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,5.5,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.0,4.0,3.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,5.0,4.0,1.0,16.33,36.8975,20.567500000000003,26.61375,10.283750000000001,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,209.5,15.5,194.0
Ag51Ce14,,-0.2,47.0,58.0,11.0,49.36923076923077,3.7178698224852065,47.0,15.0,65.0,50.0,54.23076923076923,16.899408284023668,65.0,107.8682,140.116,32.24780000000001,114.81388000000001,10.899374769230777,107.8682,1071.0,1234.93,163.93000000000006,1199.6219999999998,55.40640000000014,1234.93,3.0,11.0,8.0,9.276923076923078,2.7039053254437864,11.0,5.0,6.0,1.0,5.2153846153846155,0.33798816568047346,5.0,145.0,204.0,59.0,157.7076923076923,19.941301775147924,145.0,1.12,1.93,0.8099999999999998,1.7555384615384615,0.27377041420118337,1.93,1.0,2.0,1.0,1.2153846153846153,0.3379881656804733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,8.061538461538461,3.0418934911242603,10.0,0.0,1.0,1.0,0.2153846153846154,0.33798816568047335,0.0,4.0,11.0,7.0,9.492307692307692,2.3659171597633137,11.0,0.0,1.0,1.0,0.7846153846153846,0.33798816568047335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.9384615384615385,3.0418934911242603,0.0,0.0,13.0,13.0,2.8,4.3938461538461535,0.0,1.0,22.0,21.0,5.523076923076923,7.097751479289941,1.0,16.33,37.24,20.910000000000004,20.83369230769231,7.067332544378701,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,218.3230769230769,10.477633136094681,225.0
CeAg,mp-2756,-0.1399,47.0,58.0,11.0,52.5,5.5,47.0,15.0,65.0,50.0,40.0,25.0,15.0,107.8682,140.116,32.24780000000001,123.99210000000001,16.123900000000006,107.8682,1071.0,1234.93,163.93000000000006,1152.9650000000001,81.96500000000003,1071.0,3.0,11.0,8.0,7.0,4.0,3.0,5.0,6.0,1.0,5.5,0.5,5.0,145.0,204.0,59.0,174.5,29.5,145.0,1.12,1.93,0.8099999999999998,1.525,0.4049999999999999,1.12,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,5.5,4.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,4.0,11.0,7.0,7.5,3.5,4.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,13.0,13.0,6.5,6.5,0.0,1.0,22.0,21.0,11.5,10.5,1.0,16.33,37.24,20.910000000000004,26.785,10.455000000000002,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,209.5,15.5,194.0
Ag51Pr14,,-0.22899999999999998,47.0,59.0,12.0,49.58461538461538,4.0558579881656796,47.0,17.0,65.0,48.0,54.66153846153846,16.223431952662725,65.0,107.8682,140.90765,33.03944999999999,114.98438923076922,11.166943100591709,107.8682,1204.0,1234.93,30.930000000000064,1228.2681538461538,10.453973964497097,1234.93,3.0,11.0,8.0,9.276923076923078,2.7039053254437864,11.0,5.0,6.0,1.0,5.2153846153846155,0.33798816568047346,5.0,145.0,203.0,58.0,157.4923076923077,19.603313609467456,145.0,1.13,1.93,0.8,1.7576923076923074,0.2703905325443788,1.93,1.0,2.0,1.0,1.2153846153846153,0.3379881656804733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,7.846153846153846,3.379881656804734,10.0,0.0,3.0,3.0,0.6461538461538462,1.0139644970414203,0.0,5.0,11.0,6.0,9.707692307692307,2.0279289940828407,11.0,0.0,1.0,1.0,0.7846153846153846,0.33798816568047335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,2.3692307692307693,3.717869822485207,0.0,1.0,11.0,10.0,3.1538461538461537,3.3798816568047334,1.0,16.33,35.675,19.345,20.49661538461538,6.538381065088757,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,218.3230769230769,10.477633136094681,225.0
PrAg,mp-2525,-0.2529,47.0,59.0,12.0,53.0,6.0,47.0,17.0,65.0,48.0,41.0,24.0,17.0,107.8682,140.90765,33.03944999999999,124.387925,16.519724999999994,107.8682,1204.0,1234.93,30.930000000000064,1219.4650000000001,15.465000000000032,1204.0,3.0,11.0,8.0,7.0,4.0,3.0,5.0,6.0,1.0,5.5,0.5,5.0,145.0,203.0,58.0,174.0,29.0,145.0,1.13,1.93,0.8,1.5299999999999998,0.4,1.13,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,3.0,3.0,1.5,1.5,0.0,5.0,11.0,6.0,8.0,3.0,5.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5.5,5.5,0.0,1.0,11.0,10.0,6.0,5.0,1.0,16.33,35.675,19.345,26.002499999999998,9.6725,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,209.5,15.5,194.0
