,Learners,Learn rate,Depth,F1 Macro Score
0,5.0,1.0,3.0,0.2485261088411538
1,5.0,1.0,4.0,0.2795643473535981
2,5.0,1.0,5.0,0.3471779866891851
3,5.0,1.0,6.0,0.38428081621824645
4,5.0,1.0,7.0,0.4165369274815376
5,5.0,1.0,8.0,0.4286658420054404
6,5.0,1.0,9.0,0.43676296559074473
7,5.0,3.0,3.0,0.4032384565480333
8,5.0,3.0,4.0,0.40998512568478074
9,5.0,3.0,5.0,0.41846623218689594
10,5.0,3.0,6.0,0.4391852605487817
11,5.0,3.0,7.0,0.4460462921161602
12,5.0,3.0,8.0,0.4653252795708719
13,5.0,3.0,9.0,0.45449534508814243
14,5.0,5.0,3.0,0.5110552655981302
15,5.0,5.0,4.0,0.49362235419058165
16,5.0,5.0,5.0,0.4910841898612796
17,5.0,5.0,6.0,0.537958557416684
18,5.0,5.0,7.0,0.5611392094553236
19,5.0,5.0,8.0,0.5929650721184367
20,5.0,5.0,9.0,0.6006883015419164
21,5.0,7.0,3.0,0.5137437046966797
22,5.0,7.0,4.0,0.5479134637945888
23,5.0,7.0,5.0,0.5746215942459347
24,5.0,7.0,6.0,0.6071086746702521
25,5.0,7.0,7.0,0.6111618105061598
26,5.0,7.0,8.0,0.6544500880202736
27,5.0,7.0,9.0,0.6313415745642535
28,5.0,9.0,3.0,0.5294582191645125
29,5.0,9.0,4.0,0.5895214369362195
30,5.0,9.0,5.0,0.6037836092707887
31,5.0,9.0,6.0,0.6414742147423504
32,5.0,9.0,7.0,0.6418358556963464
33,5.0,9.0,8.0,0.6623386867286978
34,5.0,9.0,9.0,0.6705339604399192
35,5.0,11.0,3.0,0.5540327101738297
36,5.0,11.0,4.0,0.6094066081995949
37,5.0,11.0,5.0,0.621475054952582
38,5.0,11.0,6.0,0.6474105122235448
39,5.0,11.0,7.0,0.6314500718435233
40,5.0,11.0,8.0,0.6830099292772888
41,5.0,11.0,9.0,0.6666914388730782
42,5.0,13.0,3.0,0.5495246976768262
43,5.0,13.0,4.0,0.6017243381825932
44,5.0,13.0,5.0,0.6212816591005107
45,5.0,13.0,6.0,0.6344529321054838
46,5.0,13.0,7.0,0.6511260408413831
47,5.0,13.0,8.0,0.6653700762569893
48,5.0,13.0,9.0,0.6699772121489005
49,5.0,15.0,3.0,0.5607423557131634
50,5.0,15.0,4.0,0.6022418683520804
51,5.0,15.0,5.0,0.6368606023759289
52,5.0,15.0,6.0,0.623033431303271
53,5.0,15.0,7.0,0.6513797242112619
54,5.0,15.0,8.0,0.6757594178926041
55,5.0,15.0,9.0,0.6656110795900116
56,5.0,17.0,3.0,0.5747728310355026
57,5.0,17.0,4.0,0.5975065983310168
58,5.0,17.0,5.0,0.62049539356722
59,5.0,17.0,6.0,0.6340488690360464
60,5.0,17.0,7.0,0.6277589241938624
61,5.0,17.0,8.0,0.6670272481508286
